Office Number	Name English	Name Arabic	Website	Phone Number	Email
2004	HARBOR REAL ESTATE BROKER L.L.C	هاربور للوساطة العقارية ش.ذ.م.م	www.harbordubai.com	971-971-3251616	mohanad@harbordubai.com
1034	NEW WAY REAL ESTATE BROKER	الطريق الجديد للوساطة العقاريه		971-4-3573806	info@newwayint.com
1007	SEVEN CENTURY REAL ESTATE BROKERS L.L.C	القرن السابع للوساطة العقارية ذ.م.م	www.sevencentury.com	971-4-4520077	naghmeh@sevencentury.com
578	CHIC HOUSE REAL ESTATE BROKERS (L.L.C)	شيك هاوس للوساطة العقارية (ش.ذ.م.م)		971-4-4516161	ghasir@chichouse.ae
11803	ABUFAHAD REALESTATE L.L.C	أبو فهد للعقارات ش.ذ.م.م		585299999	broker.alhasan@gmail.com
23173	ON PLAN REAL ESTATE L.L.C	اون بلان للعقارات ش.ذ.م.م	onplan.ae		q-l2@hotmail.com
12651	VALCO PROPERTIES L.L.C	فالكو بروبيرتيز ش.ذ.م.م	www.valco-properties.com	971-4-3799919	info@valco-properties.com
3351	GULF GATE REAL ESTATE	جلف جيت للعقارات		971-04-3210200	info@thegulfgate.co
203	CASTLES PLAZA REAL ESTATE	كاستلس بلازا للعقارات		971-4-3551131	reception@castlesplaza.com
1721	MUSTAFA ALANSARI REAL ESTATE BROKER	مصطفى الانصاري للوساطة العقارية	www.alansarire.com	44473277	ahmed.sssprop@gmail.com
358	HAMPTONS INTERNATIONAL DUBAI (L L C)	هامبتونز انترناشيونال دبي (ش ذ م م)		971-04-3661662	enquiries@hamptons.ae
11	AL BISHRI REAL ESTATE	البشري للعقارات		971-4-2627400	mahmoud_766@yahoo.com
11814	PREMIER ESTATES REAL ESTATE BROKERS L.L.C	بريميار ايستيتس للوساطة العقارية ش.ذ.م.م		971-4-4252780	dinesh@dubaipremierestates.com
25226	GRAND VISION REAL ESTATE L.L.C	غراند فيجن للوساطة العقارية ش.ذ.م.م		45760444	Ghafoor.ghattali@yahoo.com
11826	OTTOMANS INTERNATIONAL PROPERTY BROKER	اوتومانز انترناشيونال للوساطة العقارية	www.ottomans-uae.com	97145616900	silvia@ottomans-uae.com
12882	YOUSIF AL SUWAIDI PROPERTIES	يوسف السويدي للعقارات	www.yasproperties.com	971-4-3552266	noushadthotton@yasproperties.com
11887	DAR AL AQAR REAL ESTATE L.L.C	دار العقار للعقارات ش.ذ.م.م	www.daralaqar.com	971-04-4211543	info@daralaqar.com
12571	PROPERTY JUNCTION INTERNATIONAL REAL ESTATE BROKER L.L.C	بروبرتي جنكشن انترناشيونال للوساطة العقارية ش.ذ.م.م		971-4-3365880	
